dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-0
the8x3_filename: 00260000
filename_extension: sbd
filename_label: sunfish-2021-291-2-0-sbd(00260000)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:04:08_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653894.117 0.371727 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.137983 0.575611 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.162111 NaN NaN NaN NaN 0.216421 NaN NaN NaN 1634653918.135 NaN NaN 0.0279253 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.0764 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653922.954 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653927.009 1.46585 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.1249 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653957.015 2.61249 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653961.009 NaN 48.1114 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 46.5231 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653969.013 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0386967 0.607083 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.276461 NaN NaN NaN NaN 0.507891 NaN NaN NaN 1634653981.024 NaN NaN 0.015708 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.0618 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654011.03 4.30618 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 45.4886 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654041.036 NaN 43.6327 NaN NaN NaN NaN NaN 
NaN NaN -0.0752598 0.603002 NaN NaN NaN NaN NaN NaN NaN NaN NaN 52.8652 0.0347381 NaN NaN NaN NaN 0.747001 NaN NaN NaN 1634654045.04 5.28652 NaN 0.015708 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654049.043 NaN NaN NaN 7.76227 NaN NaN NaN 
NaN -0.9 NaN NaN -0.3491 NaN NaN NaN NaN 14.9209 -0.827411 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.1838396128 -5307.51051674955 -0.507891 1634654069.055 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 61.8807 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654077.066 6.18807 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 13.6762 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654101.141 NaN 11.4852 NaN NaN NaN NaN NaN 
NaN NaN 0.105074 0.6031 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0839504 NaN NaN NaN NaN 0.455531 NaN NaN NaN 1634654105.15 NaN NaN 0.00174533 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 74.8351 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654109.158 7.48351 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 77.1984 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654141.176 7.71984 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0774289 0.604228 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0839504 NaN NaN NaN NaN 0.586431 NaN NaN NaN 1634654165.218 NaN NaN 0.0296706 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 77.5923 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654173.229 7.75923 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 77.6361 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654205.318 7.76361 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0774289 0.604256 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0839504 NaN NaN NaN NaN 0.595157 NaN NaN NaN 1634654225.334 NaN NaN 0.0226893 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 78.0737 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654237.346 7.80737 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 69.8897 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654269.426 6.98897 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0144237 0.606958 NaN NaN NaN NaN NaN NaN NaN NaN NaN 61.268 0.0115794 NaN NaN NaN NaN 0.654498 NaN NaN NaN 1634654307.44 6.1268 NaN 0.0296706 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 49.1889 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654367.451 4.91889 NaN NaN NaN NaN NaN NaN 
NaN 0.632344 -0.0417175 0.598918 0.3491 NaN NaN NaN NaN 14.4714 0.553115 NaN NaN NaN -0.0318433 NaN NaN NaN NaN 0.797615 4725.22726310257 -5307.49156975123 0.39619 1634654397.457 NaN NaN 0.0314159 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 37.635 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654427.461 3.7635 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0806464 0.581287 NaN NaN NaN NaN NaN NaN NaN NaN NaN 28.3131 -0.0318433 NaN NaN NaN NaN 0.76969 NaN NaN NaN 1634654487.473 2.83131 NaN 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 20.3479 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654547.484 2.03479 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0484601 0.570047 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0492123 NaN NaN NaN NaN 0.780162 NaN NaN NaN 1634654577.49 NaN NaN 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 13.0173 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654607.497 1.30173 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 0.560214 NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.61893 -0.0492123 NaN NaN NaN NaN 0.715585 NaN NaN NaN 1634654641.5 0.861893 NaN 0.0314159 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654649.509 NaN NaN NaN 8.35504 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.78951 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654674.387 0.478951 NaN NaN NaN NaN NaN NaN 
NaN 0.9 NaN NaN 0.4538 NaN NaN NaN NaN 14.6473 0.918882 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.2690579323 -5307.46322051771 0.354302 1634654698.406 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0 0.55883 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.00289484 NaN NaN NaN NaN 0.603884 NaN NaN NaN 1634654702.414 NaN NaN 0.0226893 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.10457 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634654706.417 0.310457 NaN NaN NaN NaN NaN NaN 
