dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-95
the8x3_filename: 00410095
filename_extension: sbd
filename_label: sunfish-2021-335-1-95-sbd(00410095)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_19:31:16_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-95
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166738.775 13.2403 NaN NaN NaN NaN NaN NaN 
-0.331183 137.5 -0.0770681 1.56201 NaN NaN NaN NaN NaN NaN NaN NaN 129.083 NaN -0.0752659 NaN NaN NaN NaN 1.82561 NaN NaN NaN 1639166768.781 NaN NaN 0.0453786 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166798.786 12.585 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 122.595 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166828.792 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0766871 1.56198 0.3491 NaN NaN NaN 14.7488 -0.275524 NaN NaN NaN 137.852 -0.0752659 NaN NaN NaN NaN 1.84307 4840.22665888699 -5127.88038557866 0.319395 1639166858.797 11.9341 NaN 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 116.108 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166888.802 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166918.808 11.3072 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0699801 1.56195 NaN NaN NaN NaN NaN NaN NaN NaN 109.839 NaN -0.0752659 NaN NaN NaN NaN 1.87797 NaN NaN NaN 1639166948.814 NaN NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166978.82 10.6584 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 103.417 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639167008.826 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0806426 1.56192 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0752659 NaN NaN NaN NaN 1.88146 NaN NaN NaN 1639167038.832 10.0534 NaN 0.0523599 NaN NaN NaN 4 
-0.331183 137.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 97.3664 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639167068.837 9.73664 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0918301 1.56188 NaN NaN NaN NaN NaN NaN NaN NaN 91.4469 NaN -0.0897401 NaN NaN NaN NaN 1.92684 NaN NaN NaN 1639167128.848 9.14469 NaN 0.0506145 NaN NaN NaN 4 
NaN NaN -0.0892862 1.56186 0.3491 NaN NaN NaN 14.8828 -0.275524 NaN NaN 85.3526 137.965 -0.0897401 NaN NaN NaN NaN 1.87623 4840.22781257885 -5127.81064986259 0.315905 1639167188.859 8.53526 NaN 0.0471239 8.22666 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 78.8652 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639167248.87 7.88651 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0732828 1.56183 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0897401 NaN NaN NaN NaN 1.84481 NaN NaN NaN 1639167278.875 NaN NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 72.5088 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639167308.881 7.25088 NaN NaN NaN NaN NaN NaN 
